epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,3391.18,0.66793,0.28992,0.9272,0.99952,1,0.995,0.8512,0.69722,0.25741,0.8994,0.000410409,0.000410409,0.000410409
110,3426.45,0.64911,0.28084,0.92353,0.99953,1,0.995,0.85587,0.69382,0.25915,0.90299,0.000400977,0.000400977,0.000400977
111,3461.78,0.66388,0.28528,0.92564,0.99944,1,0.995,0.85446,0.69476,0.25748,0.90164,0.000391546,0.000391546,0.000391546
112,3497.01,0.66225,0.28726,0.92603,0.99934,1,0.995,0.85967,0.69017,0.26047,0.89729,0.000382115,0.000382115,0.000382115
113,3532.19,0.65561,0.28514,0.92333,0.9995,1,0.995,0.85849,0.6904,0.25827,0.89614,0.000372683,0.000372683,0.000372683
114,3574.31,0.66541,0.28861,0.92538,0.99957,1,0.995,0.8585,0.68953,0.25771,0.89792,0.000363252,0.000363252,0.000363252
115,3620.33,0.6503,0.28439,0.92528,0.9995,1,0.995,0.85417,0.69222,0.25648,0.90181,0.00035382,0.00035382,0.00035382
116,3667.01,0.64359,0.2801,0.9216,0.99945,1,0.995,0.85369,0.6915,0.2579,0.90266,0.000344389,0.000344389,0.000344389
117,3713.63,0.64112,0.2786,0.91819,0.9995,1,0.995,0.8575,0.68769,0.25572,0.89885,0.000334958,0.000334958,0.000334958
118,3760.19,0.64229,0.27496,0.91891,0.99943,1,0.995,0.85359,0.68998,0.25627,0.89824,0.000325526,0.000325526,0.000325526
119,3806.59,0.64893,0.27611,0.92013,0.99948,1,0.995,0.85801,0.68552,0.25494,0.89879,0.000316095,0.000316095,0.000316095
120,3853.24,0.63971,0.27506,0.91903,0.99953,1,0.995,0.85501,0.69054,0.25392,0.90078,0.000306663,0.000306663,0.000306663
121,3899.53,0.64564,0.27311,0.92146,0.99959,1,0.995,0.85669,0.68955,0.25369,0.89781,0.000297232,0.000297232,0.000297232
122,3935.06,0.64097,0.27426,0.91491,0.99949,1,0.995,0.85552,0.69017,0.25407,0.89858,0.000287801,0.000287801,0.000287801
123,3959.68,0.64141,0.27106,0.91661,0.99949,1,0.995,0.85651,0.68857,0.25269,0.89966,0.000278369,0.000278369,0.000278369
124,3984.51,0.64633,0.27304,0.91856,0.99948,1,0.995,0.85385,0.68954,0.25507,0.90137,0.000268938,0.000268938,0.000268938
125,4009.52,0.63883,0.27198,0.92073,0.99952,1,0.995,0.85583,0.69398,0.25283,0.90256,0.000259506,0.000259506,0.000259506
126,4034.88,0.63787,0.27222,0.91815,0.99944,1,0.995,0.85983,0.68787,0.25068,0.90391,0.000250075,0.000250075,0.000250075
127,4060.37,0.63125,0.27096,0.91592,0.99947,1,0.995,0.85563,0.68942,0.25036,0.90213,0.000240644,0.000240644,0.000240644
128,4085.64,0.6373,0.271,0.9159,0.99942,1,0.995,0.85931,0.68967,0.2511,0.90063,0.000231212,0.000231212,0.000231212
129,4110.83,0.63487,0.26784,0.9108,0.99949,1,0.995,0.85638,0.69102,0.25199,0.90074,0.000221781,0.000221781,0.000221781
130,4136.1,0.636,0.26847,0.91422,0.99953,1,0.995,0.85846,0.68604,0.24853,0.89683,0.000212349,0.000212349,0.000212349
131,4162.39,0.63693,0.26717,0.90959,0.99945,1,0.995,0.8622,0.68449,0.24597,0.89756,0.000202918,0.000202918,0.000202918
132,4188,0.62783,0.26783,0.91555,0.99944,1,0.995,0.86147,0.6855,0.24509,0.89744,0.000193487,0.000193487,0.000193487
133,4214.66,0.63081,0.26599,0.91467,0.99946,1,0.995,0.85789,0.68911,0.24904,0.89934,0.000184055,0.000184055,0.000184055
134,4240.2,0.62015,0.26681,0.91311,0.99949,1,0.995,0.85725,0.69047,0.25033,0.89897,0.000174624,0.000174624,0.000174624
135,4265.49,0.62523,0.26259,0.91029,0.99943,1,0.995,0.85753,0.68417,0.24804,0.89637,0.000165192,0.000165192,0.000165192
136,4291.27,0.62447,0.26356,0.91506,0.99947,1,0.995,0.85681,0.68581,0.24696,0.89854,0.000155761,0.000155761,0.000155761
137,4316.32,0.62918,0.26398,0.91407,0.9994,1,0.995,0.85684,0.6912,0.24562,0.90142,0.00014633,0.00014633,0.00014633
138,4341.44,0.61506,0.25931,0.91043,0.99952,1,0.995,0.85734,0.68802,0.2451,0.89959,0.000136898,0.000136898,0.000136898
139,4366.92,0.61384,0.25847,0.90834,0.9995,1,0.995,0.85862,0.68712,0.24396,0.89782,0.000127467,0.000127467,0.000127467
140,4392.44,0.61931,0.25949,0.90977,0.99944,1,0.995,0.85774,0.68515,0.24352,0.89884,0.000118035,0.000118035,0.000118035
141,4445.27,0.58316,0.22905,0.8604,0.99892,1,0.995,0.85172,0.68777,0.2516,0.8978,0.000108604,0.000108604,0.000108604
142,4469.52,0.57553,0.2261,0.85553,0.99864,1,0.995,0.85283,0.69214,0.25087,0.89982,9.91726e-05,9.91726e-05,9.91726e-05
143,4493.64,0.57312,0.22333,0.85364,0.99922,1,0.995,0.85543,0.6917,0.24829,0.90017,8.97412e-05,8.97412e-05,8.97412e-05
144,4517.49,0.5692,0.22249,0.85567,0.99943,1,0.995,0.85708,0.69017,0.24732,0.90034,8.03098e-05,8.03098e-05,8.03098e-05
145,4541.48,0.56867,0.22128,0.85722,0.99941,1,0.995,0.85847,0.68954,0.24799,0.89951,7.08784e-05,7.08784e-05,7.08784e-05
146,4565.41,0.56907,0.22238,0.85881,0.99942,1,0.995,0.85669,0.68945,0.24637,0.8991,6.1447e-05,6.1447e-05,6.1447e-05
147,4589.77,0.56957,0.21994,0.85876,0.9994,1,0.995,0.85732,0.68659,0.24646,0.89628,5.20156e-05,5.20156e-05,5.20156e-05
148,4613.7,0.5638,0.21844,0.85067,0.99945,1,0.995,0.85815,0.68701,0.24536,0.89692,4.25842e-05,4.25842e-05,4.25842e-05
149,4638.35,0.56113,0.21808,0.85048,0.99946,1,0.995,0.85681,0.68781,0.24446,0.89672,3.31528e-05,3.31528e-05,3.31528e-05
150,4662.62,0.56174,0.21764,0.84996,0.99946,1,0.995,0.85683,0.6892,0.24529,0.89773,2.37214e-05,2.37214e-05,2.37214e-05
